北京市,北京城区,116.407394,39.904211
天津市,天津城区,117.200983,39.084158
上海市,上海城区,121.473662,31.230372
重庆市,重庆城区,106.551643,29.562849
重庆市,重庆郊县,108.165537,29.293902
河北省,石家庄市,114.514793,38.042228
河北省,唐山市,118.180193,39.630867
河北省,秦皇岛市,119.518197,39.888701
河北省,邯郸市,114.538959,36.625594
河北省,邢台市,114.504677,37.070834
河北省,保定市,115.464589,38.874434
河北省,张家口市,114.886252,40.768493
河北省,承德市,117.962749,40.952942
河北省,沧州市,116.838834,38.304477
河北省,廊坊市,116.683752,39.538047
河北省,衡水市,115.670177,37.73892
山西省,太原市,112.548879,37.87059
山西省,大同市,113.300129,40.076763
山西省,阳泉市,113.580519,37.856971
山西省,长治市,113.116404,36.195409
山西省,晋城市,112.851486,35.490684
山西省,朔州市,112.432991,39.331855
山西省,晋中市,112.752652,37.687357
山西省,运城市,111.00746,35.026516
山西省,忻州市,112.734174,38.416663
山西省,临汾市,111.518975,36.088005
山西省,吕梁市,111.144699,37.519126
辽宁省,沈阳市,123.465035,41.677284
辽宁省,大连市,121.614848,38.914086
辽宁省,鞍山市,122.994329,41.108647
辽宁省,抚顺市,123.957208,41.880872
辽宁省,本溪市,123.685142,41.486981
辽宁省,丹东市,124.35445,40.000787
辽宁省,锦州市,121.126846,41.095685
辽宁省,营口市,122.219458,40.625364
辽宁省,阜新市,121.670273,42.021602
辽宁省,辽阳市,123.236974,41.267794
辽宁省,盘锦市,122.170584,40.719847
辽宁省,铁岭市,123.726035,42.223828
辽宁省,朝阳市,120.450879,41.573762
辽宁省,葫芦岛市,120.836939,40.71104
吉林省,长春市,125.323513,43.817251
吉林省,吉林市,126.549572,43.837883
吉林省,四平市,124.350398,43.166419
吉林省,辽源市,125.14366,42.887766
吉林省,通化市,125.939697,41.728401
吉林省,白山市,126.41473,41.943972
吉林省,松原市,124.825042,45.141548
吉林省,白城市,122.838714,45.619884
吉林省,延边朝鲜族自治州,129.471868,42.909408
黑龙江省,哈尔滨市,126.534967,45.803775
黑龙江省,齐齐哈尔市,123.918186,47.354348
黑龙江省,鸡西市,130.969333,45.295075
黑龙江省,鹤岗市,130.297943,47.350189
黑龙江省,双鸭山市,131.141195,46.676418
黑龙江省,大庆市,125.103784,46.589309
黑龙江省,伊春市,128.841125,47.727535
黑龙江省,佳木斯市,130.318878,46.799777
黑龙江省,七台河市,131.003082,45.771396
黑龙江省,牡丹江市,129.633168,44.551653
黑龙江省,黑河市,127.528293,50.245129
黑龙江省,绥化市,126.968887,46.653845
黑龙江省,大兴安岭地区,124.711526,52.335262
江苏省,南京市,118.796682,32.05957
江苏省,无锡市,120.31191,31.491169
江苏省,徐州市,117.284124,34.205768
江苏省,常州市,119.974061,31.811226
江苏省,苏州市,120.585728,31.2974
江苏省,南通市,120.894676,31.981143
江苏省,连云港市,119.221611,34.596653
